epoch	global_step	loss	test_loss	test_accuracy
1	50	1.4023878288269043	1.2568116676807404	0.58	
2	100	1.1704391431808472	1.1317432010173798	0.61	
3	150	0.9556182932853698	1.1467420876026153	0.6	
4	200	0.6400008231401444	1.3211634653806685	0.555	
5	250	0.3274045479297638	1.6893427568674086	0.53	
6	300	0.1543972447514534	1.9185839450359345	0.535	
7	350	0.08206828996539116	2.1402143347263336	0.475	
8	400	0.051570245027542115	2.205186180472374	0.495	
9	450	0.03304981231689453	2.2573833137750627	0.55	
10	500	0.029754030406475066	2.279735918045044	0.55	
11	550	0.021434471756219865	2.3561498284339906	0.52	
12	600	0.02463167741894722	2.3625829607248305	0.54	
13	650	0.020258879661560057	2.3874728119373323	0.55	
14	700	0.018188477605581285	2.4072228676080702	0.54	
15	750	0.017075285762548447	2.4134327948093413	0.54	
